symbol,sig_ts,ent_ts,ex_ts,entry,atr,stop_pct,sl,tp,px_pess,exit_pess,px_opt,exit_opt,px_4h,exit_4h,fund_sum,fund_n,fund_ok,gaps_1h,step_size,atr_rank,volratio,mom180,qvol_30d,ambiguous
ZILUSDT,1754769600000,1754784000000,1754812800000,0.01201,0.00020357142857142845,0.016950160580468648,0.011806428571428572,0.012824285714285713,0.011806428571428572,SL,0.011806428571428572,SL,0.011806428571428572,SL,0.0001,1,True,0,1.0,0.126,1.0973949866780588,0.0025062656641603454,8815237.764364,False
ZILUSDT,1755115200000,1755129600000,1755162000000,0.01248,0.00028,0.022435897435897436,0.012199999999999999,0.0136,0.012199999999999999,SL,0.012199999999999999,SL,0.012199999999999999,SL,0.0002,2,True,0,1.0,0.472,1.0938707227415,0.0138211382113822,8827873.812960334,False
ZILUSDT,1755129600000,1755144000000,1755154800000,0.01257,0.0002728571428571428,0.021707012160472775,0.012297142857142857,0.013661428571428571,0.012297142857142857,SL,0.012297142857142857,SL,0.012297142857142857,SL,0.0,0,True,0,1.0,0.424,1.094731463278336,0.04753961634695569,8833653.952663334,False
ZILUSDT,1757750400000,1757764800000,1757772000000,0.01231,0.00018928571428571437,0.015376581176743653,0.012120714285714285,0.013067142857142857,0.012120714285714285,SL,0.012120714285714285,SL,0.012120714285714285,SL,0.0,0,True,0,1.0,0.078,1.0190828967778962,0.010673234811165777,8569985.211369,False
ZILUSDT,1757764800000,1757779200000,1757786400000,0.01221,0.00020142857142857153,0.016497016497016504,0.01200857142857143,0.013015714285714287,0.01200857142857143,SL,0.01200857142857143,SL,0.01200857142857143,SL,0.0,0,True,0,1.0,0.14,1.0279745142113563,0.05714285714285716,8439968.137513334,False
ZILUSDT,1758139200000,1758153600000,1758240000000,0.012,0.0002121428571428573,0.017678571428571443,0.011787857142857143,0.01284857142857143,0.01218,TIME,0.01218,TIME,0.01218,TIME,0.0004,4,True,0,1.0,0.24,1.1153793647232055,0.08703535811423402,8406283.151907668,False
ZILUSDT,1758153600000,1758168000000,1758254400000,0.01202,0.00021142857142857148,0.017589731400047545,0.011808571428571429,0.012865714285714286,0.01212,TIME,0.01212,TIME,0.01212,TIME,0.00030000000000000003,3,True,0,1.0,0.236,1.1051754857849585,0.1068139963167587,8383714.162978001,False
ZILUSDT,1758196800000,1758211200000,1758294000000,0.01209,0.00021571428571428571,0.01784237268108236,0.011874285714285714,0.012952857142857143,0.011874285714285714,SL,0.011874285714285714,SL,0.011874285714285714,SL,0.0002,2,True,0,1.0,0.262,1.1064589723500255,0.1113155473781049,8369064.586135,False
ZILUSDT,1758211200000,1758225600000,1758283200000,0.01217,0.00021928571428571426,0.018018546777790818,0.011950714285714287,0.013047142857142858,0.011950714285714287,SL,0.011950714285714287,SL,0.011950714285714287,SL,0.0002,2,True,0,1.0,0.27,1.114625313413083,0.1289424860853432,8358987.9869593335,False
ZILUSDT,1758225600000,1758240000000,1758283200000,0.01218,0.00021214285714285706,0.017417311752287116,0.011967857142857143,0.013028571428571428,0.011967857142857143,SL,0.011967857142857143,SL,0.011967857142857143,SL,0.0001,1,True,0,1.0,0.222,1.1077450068525547,0.1352611940298507,8360471.385234667,False
ZILUSDT,1758240000000,1758254400000,1758283200000,0.01212,0.00021714285714285697,0.0179160773220179,0.011902857142857144,0.01298857142857143,0.011902857142857144,SL,0.011902857142857144,SL,0.011902857142857144,SL,0.0001,1,True,0,1.0,0.266,1.081151241031634,0.11499540018399279,8369347.862276334,False
ZILUSDT,1767542400000,1767556800000,1767607200000,0.00518,0.00010642857142857131,0.020546056260341953,0.005073571428571428,0.005605714285714285,0.005073571428571428,SL,0.005073571428571428,SL,0.005073571428571428,SL,0.0002,2,True,0,1.0,0.238,1.0498547592084906,0.01964636542239684,3625755.4720166666,False
ZILUSDT,1777046400000,1777060800000,1777122000000,0.00418,7.85714285714286e-05,0.018796992481203013,0.004101428571428571,0.004494285714285714,0.004101428571428571,SL,0.004101428571428571,SL,0.004101428571428571,SL,0.00025,5,True,0,1.0,0.266,1.0327057749398307,0.04499999999999993,3208206.3123709997,False
