symbol,sig_ts,ent_ts,ex_ts,entry,atr,stop_pct,sl,tp,px_pess,exit_pess,px_opt,exit_opt,px_4h,exit_4h,fund_sum,fund_n,fund_ok,gaps_1h,step_size,atr_rank,volratio,mom180,qvol_30d,ambiguous,fund_abs90
AGTUSDT,1762790400000,1762804800000,1762808400000,0.004385,0.0002096428571428,0.0478090894282456,0.0041753571428571,0.0052235714285714,0.0041753571428571,SL,0.0041753571428571,SL,0.0041753571428571,SL,0.0,0,True,0,1.0,0.402,1.1548686942459796,0.2116768123962369,10769321.185948431,False,0.000311631925925926
AGTUSDT,1766966400000,1766980800000,1766991600000,0.004262,0.0001924285714285,0.0451498290540993,0.0040695714285714,0.0050317142857142,0.0040695714285714,SL,0.0040695714285714,SL,0.0040695714285714,SL,0.0,0,True,0,1.0,0.304,1.3644242727606644,0.5425262395946437,1834720.338149133,False,0.00012755914814814814
AGTUSDT,1769313600000,1769328000000,1769342400000,0.003858,7.792857142857139e-05,0.0201992149892616,0.0037800714285714,0.0041697142857142,0.0037800714285714,SL,0.0037800714285714,SL,0.0037800714285714,SL,0.0001,2,True,0,1.0,0.072,1.2918601962979992,0.1150289017341039,1134273.9385886998,False,5.5223407407407414e-05
AGTUSDT,1769472000000,1769486400000,1769572800000,0.004197,0.0001414285714285,0.0336975390585112,0.0040555714285714,0.0047627142857142,0.0040555714285714,SL,0.0040555714285714,SL,0.0040555714285714,SL,0.0003,6,True,0,1.0,0.37,1.501319996614993,0.075897435897436,1187419.6289095664,False,5.06565925925926e-05
AGTUSDT,1769486400000,1769500800000,1769572800000,0.004242,0.0001527857142857,0.0360173772479288,0.0040892142857142,0.0048531428571428,0.0040892142857142,SL,0.0040892142857142,SL,0.0040892142857142,SL,0.0002,4,True,0,1.0,0.386,1.425558740687239,0.1259278897136797,1183510.1987563667,False,5.06565925925926e-05
AGTUSDT,1775476800000,1775491200000,1775516400000,0.00734,0.0003245714285714,0.0442195406773063,0.0070154285714285,0.0086382857142857,0.0086382857142857,TP,0.0086382857142857,TP,0.0086382857142857,TP,0.0001,2,True,0,1.0,0.356,1.3552123976902282,0.0879691440439105,2080264.7568038,False,0.00018154162962962965
AGTUSDT,1775491200000,1775505600000,1775541600000,0.007993,0.0003844999999999,0.0481045915175778,0.0076085,0.009531,0.009531,TP,0.009531,TP,0.009531,TP,0.00017107,2,True,0,1.0,0.49,1.3498469856283255,0.2141880601549444,2150037.0889422,False,0.00018500966666666667
AGTUSDT,1781683200000,1781697600000,1781704800000,0.020928,0.0012193571428571,0.0582643894713848,0.0197086428571428,0.0258054285714285,0.0258054285714285,TP,0.0258054285714285,TP,0.0258054285714285,TP,0.0,0,True,0,1.0,0.388,1.5374436771127518,1.0693990693990694,13971521.618727632,False,0.00012056651851851854
AGTUSDT,1781697600000,1781712000000,1781719200000,0.02741,0.0017414285714285,0.0635326001980507,0.0256685714285714,0.0343757142857142,0.0256685714285714,SL,0.0256685714285714,SL,0.0256685714285714,SL,0.0,0,True,0,1.0,0.468,1.5602066787482265,1.8182378945204076,16639453.846803598,False,0.00012225866666666668
AI16ZUSDT,1752465600000,1752480000000,1752505200000,0.1957,0.0096071428571428,0.0490911745382874,0.1860928571428571,0.2341285714285714,0.1860928571428571,SL,0.1860928571428571,SL,0.1860928571428571,SL,0.00010083,1,True,0,0.1,0.258,1.014995843000301,0.1247126436781611,53418673.224247664,False,5.2202185185185186e-05
