symbol,sig_ts,ent_ts,ex_ts,entry,atr,stop_pct,sl,tp,px_pess,exit_pess,px_opt,exit_opt,px_4h,exit_4h,fund_sum,fund_n,fund_ok,gaps_1h,step_size,atr_rank,volratio,mom180,qvol_30d,ambiguous,fund_abs90,gross_pess,net_pess,R_pess,Rgross_pess,gross_opt,net_opt,R_opt,Rgross_opt,gross_4h,net_4h,R_4h,Rgross_4h,sig_date,hold_h
GALAUSDT,1729310400000,1729324800000,1729339200000,0.02326,0.0006664285714285,0.0286512713425869,0.0225935714285714,0.0259257142857142,0.0225935714285714,SL,0.0225935714285714,SL,0.0225935714285714,SL,0.0,0,True,0,1.0,0.296,1.0396135738959078,0.2145093945720251,81726271.200882,False,8.384129629629631e-05,-0.028651271342588047,-0.03065127134258805,-1.0698049303323016,-1.0000000000000402,-0.028651271342588047,-0.03065127134258805,-1.0698049303323016,-1.0000000000000402,-0.028651271342588047,-0.03065127134258805,-1.0698049303323016,-1.0000000000000402,2024-10-19,4.0
GALAUSDT,1729396800000,1729411200000,1729497600000,0.02341,0.0006735714285714,0.0287728077134313,0.0227364285714285,0.0261042857142857,0.0239,TIME,0.0239,TIME,0.0239,TIME,0.0003,3,True,0,1.0,0.3,1.1018256908851067,0.1413944417357386,81099711.16912,False,8.389859259259259e-05,0.020931225971806855,0.01863122597180685,0.6475289501590662,0.7274655355249202,0.020931225971806855,0.01863122597180685,0.6475289501590662,0.7274655355249202,0.020931225971806855,0.01863122597180685,0.6475289501590662,0.7274655355249202,2024-10-20,24.0
GALAUSDT,1729411200000,1729425600000,1729512000000,0.02412,0.0006728571428571,0.0278962331201137,0.0234471428571428,0.0268114285714285,0.02405,TIME,0.02405,TIME,0.02405,TIME,0.0003,3,True,0,1.0,0.248,1.0917350574366111,0.1999005469915464,81375402.37389833,False,8.389859259259259e-05,-0.0029021558872305286,-0.005202155887230529,-0.18648237791932123,-0.10403397027600908,-0.0029021558872305286,-0.005202155887230529,-0.18648237791932123,-0.10403397027600908,-0.0029021558872305286,-0.005202155887230529,-0.18648237791932123,-0.10403397027600908,2024-10-20,24.0
GALAUSDT,1729425600000,1729440000000,1729519200000,0.02416,0.0007071428571428,0.0292691579943235,0.0234528571428571,0.0269885714285714,0.0234528571428571,SL,0.0234528571428571,SL,0.0234528571428571,SL,0.0002,2,True,0,1.0,0.324,1.089919348060488,0.2044887780548629,81900798.26144533,False,8.389859259259259e-05,-0.02926915799432528,-0.03146915799432528,-1.0751644444445054,-1.0000000000000608,-0.02926915799432528,-0.03146915799432528,-1.0751644444445054,-1.0000000000000608,-0.02926915799432528,-0.03146915799432528,-1.0751644444445054,-1.0000000000000608,2024-10-20,22.0
GALAUSDT,1730923200000,1730937600000,1731024000000,0.02136,0.000625,0.0292602996254681,0.020735,0.02386,0.02173,TIME,0.02173,TIME,0.02173,TIME,0.0003,3,True,0,1.0,0.36,1.159770580406135,0.0099290780141845,74530245.69252498,False,8.712162962962962e-05,0.017322097378277057,0.015022097378277057,0.5133951999999978,0.591999999999998,0.017322097378277057,0.015022097378277057,0.5133951999999978,0.591999999999998,0.017322097378277057,0.015022097378277057,0.5133951999999978,0.591999999999998,2024-11-06,24.0
GALAUSDT,1730937600000,1730952000000,1730962800000,0.02188,0.0006642857142857,0.0303604074170801,0.0212157142857142,0.0245371428571428,0.0212157142857142,SL,0.0212157142857142,SL,0.0212157142857142,SL,0.0,0,True,0,1.0,0.442,1.1795830462540755,0.0253045923149015,74586243.64540233,False,8.712162962962962e-05,-0.030360407417084123,-0.032360407417084125,-1.0658752688173372,-1.0000000000001326,-0.030360407417084123,-0.032360407417084125,-1.0658752688173372,-1.0000000000001326,-0.030360407417084123,-0.032360407417084125,-1.0658752688173372,-1.0000000000001326,2024-11-07,3.0
GALAUSDT,1731124800000,1731139200000,1731225600000,0.0226,0.0006921428571428,0.0306257901390644,0.0219078571428571,0.0253685714285714,0.02398,TIME,0.02398,TIME,0.02398,TIME,0.00031069,3,True,0,1.0,0.456,1.0749389162240588,0.126620139581256,73848548.13529633,False,8.773344444444444e-05,0.061061946902654984,0.05875125690265498,1.9183588941176555,1.9938080495356125,0.061061946902654984,0.05875125690265498,1.9183588941176555,1.9938080495356125,0.061061946902654984,0.05875125690265498,1.9183588941176555,1.9938080495356125,2024-11-09,24.0
GALAUSDT,1731139200000,1731153600000,1731175200000,0.02328,0.0006864285714285,0.0294857633775159,0.0225935714285714,0.0260257142857142,0.0225935714285714,SL,0.0225935714285714,SL,0.0225935714285714,SL,0.0001,1,True,0,1.0,0.374,1.0802954981911903,0.1525507677067854,74113392.88274933,False,8.773344444444446e-05,-0.02948576337751707,-0.031585763377517076,-1.0712208116545665,-1.0000000000000397,-0.02948576337751707,-0.031585763377517076,-1.0712208116545665,-1.0000000000000397,-0.02948576337751707,-0.031585763377517076,-1.0712208116545665,-1.0000000000000397,2024-11-09,6.0
GALAUSDT,1731153600000,1731168000000,1731240000000,0.02293,0.0006678571428571,0.0291259111581832,0.0222621428571428,0.0256014285714285,0.0256014285714285,TP,0.0256014285714285,TP,0.0256014285714285,TP,0.00021069,2,True,0,1.0,0.346,1.0957651221055007,0.1551637279596978,74101900.08995368,False,8.773344444444446e-05,0.11650364463273011,0.1142929546327301,3.9240988552084635,3.9999999999999076,0.11650364463273011,0.1142929546327301,3.9240988552084635,3.9999999999999076,0.11650364463273011,0.1142929546327301,3.9240988552084635,3.9999999999999076,2024-11-09,20.0
GALAUSDT,1731182400000,1731196800000,1731261600000,0.02344,0.0007071428571428,0.0301682106289615,0.0227328571428571,0.0262685714285714,0.0262685714285714,TP,0.0262685714285714,TP,0.0262685714285714,TP,0.0004585099999999,2,True,0,1.0,0.426,1.1706561092898582,0.1726726726726726,74108610.89817901,False,8.810196296296297e-05,0.12067284251584476,0.11821433251584486,3.918506601858548,3.999999999999959,0.12067284251584476,0.11821433251584486,3.918506601858548,3.999999999999959,0.12067284251584476,0.11821433251584486,3.918506601858548,3.999999999999959,2024-11-09,18.0
